,geo_A_lat,geo_A_lon,geo_B_lat,geo_B_lon,geo_A_coordinates,geo_B_coordinates,geo_A_id,geo_B_id,id,created,project_id,task_id,user_id,user_ip,finish_time,timeout,calibration,external_uid,media_url,info,task_created,state,quorum,task_calibration,priority_0,n_answers,fav_user_ids
27,-67.40954039,46.93550711,-76.19024754,36.82711627,"(-67.4095403859, 46.935507108100005)","(-76.190247544, 36.8271162655)",28,2666,209663,2024-01-18T16:31:50.914310,761,384229,,47.167.220.10,2024-01-18T16:31:53.909922,,,,,"""A""",2024-01-17T18:58:30.452913,completed,0,0,0,1,
28,-50.49833364,-12.87088019,6.126522161,5.071729806,"(-50.4983336441, -12.8708801911)","(6.12652216052, 5.07172980597)",29,4456,209824,2024-01-19T22:37:46.857439,761,384230,,47.167.220.10,2024-01-19T22:37:53.503609,,,,,"""B""",2024-01-17T18:58:30.582079,completed,0,0,0,1,
29,-55.98844382,-19.99746266,-95.91052107,41.23143894,"(-55.988443820600004, -19.9974626626)","(-95.9105210748, 41.231438938400004)",30,4283,209664,2024-01-18T16:31:54.168105,761,384231,,47.167.220.10,2024-01-18T16:31:56.638091,,,,,"""A""",2024-01-17T18:58:30.716941,completed,0,0,0,1,
30,-4.467345979,9.650756787,-147.394218,63.01911381,"(-4.46734597858, 9.65075678715)","(-147.394218007, 63.0191138062)",31,2035,224077,2024-01-31T11:33:36.843770,761,384232,,47.167.220.10,2024-01-31T11:33:50.174685,,,,,"""B""",2024-01-17T18:58:30.835973,completed,0,0,0,1,
31,8.487874942,53.22479513,-57.25080723,-26.49095268,"(8.48787494152, 53.224795128000004)","(-57.2508072289, -26.4909526781)",32,2038,209665,2024-01-18T16:31:56.925870,761,384233,,47.167.220.10,2024-01-18T16:31:59.142768,,,,,"""B""",2024-01-17T18:58:30.947281,completed,0,0,0,1,
32,25.66092651,-5.488965067,57.01937477,53.00826395,"(25.6609265058, -5.48896506721)","(57.0193747734, 53.0082639483)",33,853,209825,2024-01-19T22:37:53.840534,761,384234,,47.167.220.10,2024-01-19T22:38:18.592188,,,,,"""A""",2024-01-17T18:58:31.057725,completed,0,0,0,1,
33,59.73451113,42.61200357,-11.17183699,7.302072783,"(59.7345111292, 42.612003565100004)","(-11.171836989400001, 7.30207278303)",34,617,209666,2024-01-18T16:31:59.403355,761,384235,,47.167.220.10,2024-01-18T16:59:45.241422,,,,,"""B""",2024-01-17T18:58:31.194365,completed,0,0,0,1,
34,13.63033286,9.283992737,-91.46409671,29.93482397,"(13.6303328567, 9.28399273659)","(-91.464096705, 29.934823971700002)",35,2508,223999,2024-01-31T11:09:11.070558,761,384236,,47.167.220.10,2024-01-31T11:09:17.467799,,,,,"""A""",2024-01-17T18:58:31.322708,completed,0,0,0,1,
35,-3.45843896,56.46159504,-40.75664988,-17.70913751,"(-3.45843896012, 56.461595043500004)","(-40.7566498816, -17.7091375067)",36,1163,209667,2024-01-18T16:59:45.559739,761,384237,,47.167.220.10,2024-01-18T16:59:48.471341,,,,,"""A""",2024-01-17T18:58:31.454868,completed,0,0,0,1,
36,-68.95336081,7.968085983,-114.9988045,51.13637847,"(-68.9533608127, 7.96808598345)","(-114.998804506, 51.1363784652)",37,839,224230,2024-01-31T12:37:16.156044,761,384238,,47.167.220.10,2024-01-31T12:37:44.176870,,,,,"""B""",2024-01-17T18:58:31.568316,completed,0,0,0,1,
